"Year","0 Population 31 Dec","1 Population 31 Dec","2 Population 31 Dec","3 Population 31 Dec","4 Population 31 Dec","5 Population 31 Dec","6 Population 31 Dec","7 Population 31 Dec","8 Population 31 Dec","9 Population 31 Dec","10 Population 31 Dec","11 Population 31 Dec","12 Population 31 Dec","13 Population 31 Dec","14 Population 31 Dec","15 Population 31 Dec","16 Population 31 Dec","17 Population 31 Dec","18 Population 31 Dec","19 Population 31 Dec","20 Population 31 Dec","21 Population 31 Dec","22 Population 31 Dec","23 Population 31 Dec","24 Population 31 Dec","25 Population 31 Dec","26 Population 31 Dec","27 Population 31 Dec","28 Population 31 Dec","29 Population 31 Dec","30 Population 31 Dec","31 Population 31 Dec","32 Population 31 Dec","33 Population 31 Dec","34 Population 31 Dec","35 Population 31 Dec","36 Population 31 Dec","37 Population 31 Dec","38 Population 31 Dec","39 Population 31 Dec","40 Population 31 Dec","41 Population 31 Dec","42 Population 31 Dec","43 Population 31 Dec","44 Population 31 Dec","45 Population 31 Dec","46 Population 31 Dec","47 Population 31 Dec","48 Population 31 Dec","49 Population 31 Dec","50 Population 31 Dec","51 Population 31 Dec","52 Population 31 Dec","53 Population 31 Dec","54 Population 31 Dec","55 Population 31 Dec","56 Population 31 Dec","57 Population 31 Dec","58 Population 31 Dec","59 Population 31 Dec","60 Population 31 Dec","61 Population 31 Dec","62 Population 31 Dec","63 Population 31 Dec","64 Population 31 Dec","65 Population 31 Dec","66 Population 31 Dec","67 Population 31 Dec","68 Population 31 Dec","69 Population 31 Dec","70 Population 31 Dec","71 Population 31 Dec","72 Population 31 Dec","73 Population 31 Dec","74 Population 31 Dec","75 Population 31 Dec","76 Population 31 Dec","77 Population 31 Dec","78 Population 31 Dec","79 Population 31 Dec","80 Population 31 Dec","81 Population 31 Dec","82 Population 31 Dec","83 Population 31 Dec","84 Population 31 Dec","85 Population 31 Dec","86 Population 31 Dec","87 Population 31 Dec","88 Population 31 Dec","89 Population 31 Dec","90 Population 31 Dec","91 Population 31 Dec","92 Population 31 Dec","93 Population 31 Dec","94 Population 31 Dec","95 Population 31 Dec","96 Population 31 Dec","97 Population 31 Dec","98 Population 31 Dec","99 Population 31 Dec","100 Population 31 Dec","101 Population 31 Dec","102 Population 31 Dec","103 Population 31 Dec","104 Population 31 Dec","105 Population 31 Dec","106 Population 31 Dec","107 Population 31 Dec","108 Population 31 Dec","109 Population 31 Dec","110 Population 31 Dec","111 Population 31 Dec","112 Population 31 Dec"
"1972",58356,60628,61736,64379,69764,72672,73427,74070,76198,77448,77031,77398,77741,78385,76546,81004,84080,83497,83947,83354,86517,83681,86818,89868,91870,91938,90429,81252,65870,62943,50756,73969,53170,62375,61046,57490,55431,56134,54127,51817,55094,57197,59674,59347,59292,57014,57597,57460,55502,56269,53028,53971,54629,40505,47529,46861,45058,46485,48475,47781,49382,48521,47776,47390,44247,43339,40642,36845,36026,32393,30908,29252,26485,24814,22890,19607,17687,16187,13760,11450,10283,9315,7349,6109,5220,4494,3517,2659,2097,1554,1100,686,503,352,225,169,95,59,38,21,11,5,6,2,0,1,0,0,0,0,0,0,0
"1973",56312,58531,60865,62110,64681,70064,72976,73757,74265,76356,77556,77133,77490,77755,78399,76566,80938,83954,83263,83802,83381,86428,83839,87213,90239,92414,92432,91019,81693,66197,63269,50989,74319,53324,62639,61163,57630,55490,56178,54129,51778,55041,57160,59589,59221,59096,56795,57351,57214,55244,55965,52724,53579,54226,40161,47093,46397,44547,45933,47861,47076,48599,47674,46872,46309,43286,42225,39505,35696,34809,31130,29682,27924,25168,23425,21501,18370,16466,14857,12488,10322,9197,8261,6438,5274,4423,3753,2885,2136,1660,1219,864,504,367,252,157,107,59,37,23,12,7,2,5,1,0,1,0,0,0,0,0,0
"1974",62649,56385,58623,60998,62308,64789,70153,73107,73873,74334,76397,77635,77153,77481,77740,78363,76423,80711,83631,82859,83553,82991,86232,83789,87324,90448,92701,92671,91260,81858,66347,63439,51106,74452,53368,62704,61188,57587,55486,56133,54058,51691,54918,56995,59435,59015,58812,56534,57051,56902,54887,55597,52338,53129,53736,39800,46589,45862,43959,45299,47119,46292,47752,46747,45871,45264,42212,41025,38321,34479,33525,29891,28363,26527,23829,22109,20128,16977,15172,13530,11253,9261,8102,7148,5512,4484,3659,3104,2293,1675,1301,928,621,366,256,170,116,59,38,24,16,5,3,2,1,0,0,1,0,0,0,0,0
"1975",65356,62173,56351,58564,60952,62353,64817,70213,73095,73860,74280,76387,77585,77101,77457,77693,78218,76203,80347,83131,82521,82918,82483,85817,83391,86979,90144,92446,92505,91131,81746,66221,63345,51016,74338,53272,62559,61055,57454,55328,55943,53875,51532,54727,56735,59159,58697,58514,56213,56713,56489,54464,55180,51877,52621,53230,39385,46037,45292,43376,44630,46381,45431,46808,45806,44758,44095,41062,39742,37072,33289,32165,28610,27050,25171,22454,20763,18763,15667,13873,12282,10163,8244,7078,6169,4741,3789,2999,2523,1850,1295,999,707,475,256,180,109,73,44,29,16,11,3,2,0,1,0,0,0,0,0,0,0
"1976",66228,64960,61913,56137,58361,60764,62224,64733,70056,72965,73725,74187,76299,77502,77002,77378,77499,77903,75696,79671,82427,81588,82009,81609,85037,82671,86270,89498,91858,91981,90654,81377,65929,63071,50837,74051,53049,62334,60848,57244,55143,55736,53661,51322,54473,56486,58851,58358,58141,55860,56317,56096,54037,54698,51378,52080,52638,38925,45454,44672,42776,43904,45574,44554,45883,44751,43593,42853,39845,38445,35764,32037,30738,27286,25640,23705,20967,19319,17359,14362,12584,11035,9072,7249,6186,5309,4005,3124,2432,2046,1450,998,753,535,334,177,131,70,50,26,22,11,6,4,1,0,0,0,0,0,0,0,0
"1977",64988,65797,64453,61379,55955,58149,60515,63062,64956,70303,73191,73908,74366,76489,77720,77201,77413,77380,77639,75248,79098,81460,80754,81191,80861,84265,81930,85619,88760,91159,91354,90145,81005,65610,62829,50644,73878,52893,62161,60689,57148,55035,55620,53503,51182,54274,56283,58674,58194,57826,55538,56020,55807,53725,54350,51005,51658,52166,38481,44900,44117,42242,43217,44748,43676,44999,43752,42524,41674,38627,37199,34542,30824,29363,25988,24300,22343,19611,17966,15964,13141,11383,9847,8034,6320,5340,4502,3382,2535,1997,1627,1129,747,545,385,255,116,92,41,32,14,11,5,3,2,0,0,0,0,0,0,0,0
"1978",63466,64792,65651,64340,61285,55871,58087,60504,62988,64887,70206,73138,73833,74303,76435,77649,77036,77136,76931,76925,74608,78190,80659,80065,80594,80308,83759,81552,85224,88382,90799,91019,89852,80694,65419,62613,50447,73677,52732,61992,60467,56973,54859,55461,53315,50977,54031,55993,58345,57876,57463,55208,55564,55343,53239,53833,50501,51113,51511,37988,44271,43449,41547,42470,43893,42775,44009,42665,41330,40361,37331,35804,33087,29399,27961,24544,22842,20891,18188,16528,14641,11907,10217,8761,7072,5431,4545,3817,2796,2043,1596,1290,890,544,415,279,176,81,69,25,15,10,10,2,2,1,0,0,0,0,0,0,0
"1979",62985,63337,64731,65590,64320,61292,55861,58135,60508,62974,64864,70196,73135,73805,74276,76362,77514,76797,76595,76122,76192,73789,77416,79990,79490,80221,79910,83421,81271,84922,88187,90660,90873,89615,80547,65278,62499,50329,73489,52595,61853,60335,56791,54665,55262,53115,50770,53814,55741,57997,57505,57092,54849,55126,54906,52798,53323,49954,50478,50880,37461,43645,42759,40849,41653,43044,41840,42932,41574,40065,38968,35971,34415,31602,27945,26498,23070,21413,19390,16833,15209,13324,10745,9129,7698,6149,4691,3846,3219,2287,1626,1249,1005,691,403,290,191,117,58,48,19,12,3,6,2,0,1,0,0,0,0,0,0
"1980",62656,63026,63414,64814,65621,64386,61394,55962,58237,60599,63042,64874,70232,73143,73809,74259,76281,77328,76387,75897,75670,75624,73357,77049,79671,79284,80032,79786,83277,81145,84828,88112,90550,90789,89443,80482,65162,62364,50215,73331,52470,61701,60198,56621,54478,55074,52912,50557,53596,55525,57667,57164,56724,54477,54656,54436,52296,52800,49399,49888,50199,36921,42952,42060,40093,40815,42134,40796,41811,40354,38778,37626,34547,32926,30065,26473,24942,21665,19989,17981,15459,13800,11959,9540,7985,6668,5256,3931,3166,2609,1839,1279,943,743,508,277,197,130,85,53,25,13,7,2,3,2,0,1,0,0,0,0,0
"1981",63260,62859,63241,63575,65015,65822,64573,61631,56093,58386,60751,63163,64955,70286,73182,73838,74229,76227,77191,76063,75727,75488,75543,73382,77108,79772,79398,80116,79893,83440,81245,84945,88294,90610,90827,89440,80508,65140,62326,50195,73236,52402,61605,60075,56494,54294,54926,52712,50328,53352,55236,57320,56812,56359,54042,54199,53952,51784,52245,48818,49248,49476,36370,42279,41280,39279,39916,41188,39696,40637,39071,37486,36209,33106,31394,28560,25031,23390,20261,18552,16520,14056,12446,10638,8441,6918,5688,4499,3333,2578,2090,1455,974,685,562,375,187,140,84,60,31,19,6,5,1,0,1,0,1,0,0,0,0
